ID,text,user_followers_count,user_friends_count,user_location
121,"RT @Lad_Whistledown: SPOILER BRIDGERTON 
.
.
.
.
O peso d culpa q a Kate leva, misturado com ressentimento, amor a família, devoção a irmã e sensação d dever com gratidão por Mary e Ed terem amado ela a ponto dla renunciar sua felicidade.
A carinha dela de choro no ep 8 falando com a nary
#Bridgerton",153,112,"Brasília, Brasil"
122,RT @typcgraphy: — the viscount who loved me (2000) #Bridgerton https://t.co/A7XeydNrhv,1943,1029,Ela/dela
123,"RT @menacetoanthony: Happy tears 💜💗😭 

#Kanthony #Bridgerton https://t.co/ASPOmds2gu",531,1965,
124,"RT @cxlinbridgerton: você sabia? para interpretar o coringa, joaquin phoenix teve que assistir 5 episódios de anthony e edwina cortejando
#bridgerton",497,274,Edser
125,"RT @bellalafin: #Bridgerton SPOILER
.
.
.
.
.
.
.
.
PORQUE ninguém tá falando sobre como o nome da Kate é KATHANI????? achei a coisa mais LINDA, o jeito que o Anthony olhou pra ela e falou o nome dela.",728,766,
126,essa merda de internet não está me ajudando a assistir #Bridgerton aahhhh que ódio,282,246,"Timóteo, Brasil"
127,RT @evegonlo: Yo después de ver toda la temporada de #Bridgerton en un día y no tener con quien comentar https://t.co/01VPB7cX1Q,377,834,Paraguay
128,Damn I feel bad for Jack Featherington 😭 bro really ain’t that bad #Bridgerton,262,231,
129,RT @bridgerton: It appears that Miss Sharma and The Viscount have found a reason to smile. I wonder what that could be. #Bridgerton https://t.co/PbRGKIfeLP,114,200,"Toronto, Ontario"
130,THE SCENEEEE #BRIDGERTON,514,837,black • she/her • 19
131,Going to get a decent bottle of wine to have whilst watching #Bridgerton later so I'm doing my research https://t.co/xLL91jyh6K,328,203,
132,OMG Kate #Bridgerton,308,180,
133,"RT @BridgertonBR: ELES 🥺🥺🥺 O CASAL DO MOMENTO: KATHONY 

#Bridgerton https://t.co/NNGOAJDo4C",283,914,"Florianópolis, Brasil"
134,"Falaram que a Edwina ia ser uma pessoa com próprias vontades, que pensasse por si própria, mas ao invés disso colocaram uma personagem que não entende a realidade
#Bridgerton 
#bridgertonseason2 
#bridgerton2 
#bridgertonS2 
#bridgertonspoiler",135,393,
135,"RT @baysercel: que beijão viu? 🤌🏼

#Bridgerton https://t.co/PWNnUrXtyg",7946,8683,crf • fcbm • cfc • rmcf • patriots • isles • lakers
136,RT @bridgerton: The Viscount and Miss Sharma may not be the only pair with a love and hate dynamic. #Bridgerton https://t.co/je4NUc1CHm,4483,4322,Brasil
137,"RT @brdgertonbrazil: Benedict Bridgerton é o homem mais lindo do mundo.

#Bridgerton https://t.co/tmcm246ekg",870,1867,.
138,RT @swaying_daisies: Anthony &amp; Kate Bridgerton 💕 #Bridgerton #BridgertonSpoilers #Kanthony #Kathony https://t.co/G1XEJFtOpX,2549,2122,Earth
139,"RT @Lad_Whistledown: ENTREGUEM O PRÊMIO PRA ELA

#Bridgerton https://t.co/ziaRuUwQUu",218,228,
140,RT @jonnybaeley: i'm going to relish this little moment forever- anthony realising what he's been missing on and smiling to himself as he's head over heels in love with his wife 💜💜 #Bridgerton #Kanthony https://t.co/zXJilE4LwB,531,1965,
141,"RT @bridgerton: At times, a mere glance can say more than a thousand words. #Bridgerton Season 2 is now streaming, only on Netflix. https://t.co/Vu59WTxBhX",172,282,"California, USA"
142,"ALSO, let me preface this watch with the caveat that The Viscount Who Loved Me is my ABSOLUTE FAVORITE of the books. Read it multiple times. This could work out amazing or be an issue? idk idk. LET’S GOOOOOO #Bridgerton",1004,629,AZ by way of CA
143,"RT @SoyEllen1: O brilho da Daphne sumindo ao ver que a Kate não era a Edwina
Daphne eu te amo KKKKKKKKKKK
#Bridgerton https://t.co/lKIYrBkiph",967,953,
144,RT @elicortland: o Anthony que chamou 3 médicos pra Kate mataria esse da adaptação que tava triste por ela mas não ia ver ela #Bridgerton #bridgertonseason2 https://t.co/1bNl5pg3vX,118,173,
145,Edwina looks way too young for Anthony #Bridgerton,440,366,Peace
